zipcode	population	latitude	longitude	state	city	county	msa	cbsa	cbsa_name	msa_name	medicarecbsacode	medicarecbsaname
77328	13993	30.407986	-95.188402	TX	CLEVELAND	LIBERTY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77331	6824	30.603809	-95.147518	TX	COLDSPRING	SAN JACINTO					99945	Rural Areas in TX
77332	0	30.6283	-94.6318	TX	DALLARDSVILLE	POLK					99945	Rural Areas in TX
77333	0	30.336456	-95.772206	TX	DOBBIN	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77334	141	30.785502	-95.365299	TX	DODGE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77335	2350	30.601876	-94.931362	TX	GOODRICH	POLK					99945	Rural Areas in TX
77336	12471	30.076983	-95.101464	TX	HUFFMAN	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77337	0	30.1218	-95.5964	TX	HUFSMITH	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77338	33971	30.009467	-95.292984	TX	HUMBLE	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77339	37512	30.052979	-95.22268	TX	KINGWOOD	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77340	29809	30.626677	-95.586412	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77341	0	30.714196	-95.547942	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77342	23	30.7234	-95.5508	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77343	0	30.7234	-95.5508	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77344	0	30.7234	-95.5508	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77345	26122	30.059756	-95.159216	TX	KINGWOOD	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77346	53578	29.991559	-95.17182	TX	HUMBLE	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77347	0	29.9987	-95.2618	TX	HUMBLE	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77348	0	30.7234	-95.5508	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77349	0	30.7234	-95.5508	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77350	66	30.8176	-94.8703	TX	LEGGETT	POLK					99945	Rural Areas in TX
77351	32517	30.69901	-94.847025	TX	LIVINGSTON	POLK					99945	Rural Areas in TX
77353	0	30.1788	-95.6982	TX	MAGNOLIA	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
